
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
511376919466	665825819441	728454385758	635376325000	 الاستخدامات	20000000
470992071692	588187517990	626837618733	533784811000	# المصروفات	21000000
122817859940	142956114424	146092798583	136626991000	ـ الأجور وتعويضات العاملين	21100000
99925424902	118195762121	120134210923	108186738000	  = الاجور والبدلات النقدية والعينية	21110000
19959136689	24006421631	24293745981	23123030000	* الوظائف الدائمة	21110100
19738835291	23772085671	24069244687	22902306000	 xالمرتبات الاساسية	21110101
219680926	232844441	222238965	218673000	 xتكاليف المعارين و تتحمل الموازنة مرتباتهم	21110102
119414	92947	571734	537000	 xتكاليف الاجازات الدراسية 	21110103
501058	1398572	1690595	1514000	 xتكاليف المنح التدريبية	21110104
2124221182	1983393101	2269522521	2075145000	* الوظائف المؤقتة	21110200
44577610	42905548	51143744	52067000	 xالمكافات الشاملة (خبراء وطنيين ) 	21110201
25201745	29313216	28080931	28096000	 xالمكافات الشاملة (خبراء  اجانب) 	21110202
1752889896	1432720210	1787419095	1728543000	 xأجور موسميين	21110203
481431	424852	239960	340000	 xمكافات الصبية	21110204
41149980	46519911	46357110	43350000	 xمكافات اطباء امتياز و اخصائى علاج طبيعى	21110205
120671120	370505742	271558641	97436000	 xمكافات الاساتذه المتفرغين 	21110206
139249400	61003622	84723040	125313000	 xمكافات الاساتذه غير المتفرغين 	21110207
52729338812	61293332912	62337689699	59007771000	* المكافات	21110300
7314646615	9655565063	9963186016	8194288000	 x تعويض العاملين عن جهود غير عادية	21110301
3742649973	4040224212	4124572462	3822462000	 x المكافات التشجيعية 	21110302
5798837873	6530970580	6934667045	7117556000	 x تكاليف حافز الاثابة	21110303
3383479543	4417984924	4405837896	4006739000	x حوافز العاملين بالكادر العام	21110304
5874053512	6433269997	6399721992	5473410000	x حوافز العاملين بالكادرات الخاصة	21110305
365436450	477283415	477565223	435683000	x الحافز المالى الاضافى 	21110306
2596027	2471066	1636394	2387000	x حوافز العلميين	21110307
556110836	680961716	678697162	695396000	 xحافز جذب العمالة	21110308
43568662	48553001	55161647	65619000	 x حافز تميز ( ماجستير و دكتوراه )	21110309
971356853	1237881723	1264455311	1346503000	 x مكافات التدريس	21110310
453556157	523722100	533136614	487183000	 x مكافات الريادة العلمية و الاجتماعية	21110311

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
444147409	537716397	539059158	532533000	 x مكافات البحوث الاكاديمية و التطبيقية	21110312
588662743	658149429	660838933	614094000	 x مكافات الاشراف على الرسائل العلمية	21110313
8838666709	7841384360	7962744490	10152839000	 x مكافات الامتحانات	21110314
245471195	292880291	294240454	270202000	 x مكافات التصحيح	21110315
188828399	220153384	219245903	210782000	 x مكافات حضور جلسات و لجان	21110316
39989	33797	40000	40000	 x مكافات طوارئ للعسكرين	21110317
45502728	40236795	51826307	59932000	 x مكافات التدريب	21110318
70753	135007	30000	42000	 x مكافات محو الامية	21110319
34222922	32286930	33099284	37540000	 x مكافات ساعات البحث الزائدة عن النصاب	21110320
2977251200	4282854537	4279793259	2623778000	 x مكافات اخرى	21110321
8277756312	9092826601	9266734937	8776716000	 x تكاليف حافز اثابة اضافى	21110322
2582425952	2924053291	2871361507	2832275000	 x حوافز الاداء للمعلمين	21110323
0	1321734296	1320037705	1249772000	 x حافز الجودة	21110324
11206806366	17317023259	17401789818	10505380000	* بدلات نوعية	21110400
3551811	3793187	4508876	4636000	 x بدل تمثيل الوظائف العليا	21110401
28479047	30682734	30995628	31901000	 x بدل تمثيل لموظفين بالخارج	21110402
118806	103995	128673	142000	 x بدل تمثيل لموظفين فنيين	21110403
20297700	22666311	24932064	23825000	 x بدل طبيعة عمل للاطباء	21110404
2073	0	1000	2000	 x بدل تسجيل الاطباء المقيمين	21110405
13990226	15185138	15746455	18194000	 xبدل حرمان للصيادلة والحكيمات والمولدات والممرضات والزائرات الصحيات والمفتشات	21110406
159612508	167439319	177759275	187040000	 x بدل عدوى ووقاية من الاشعة	21110407
7226227	7633991	8869624	10756000	 x بدل تفرغ للمهندسين	21110408
1275973	1234871	1352936	1446000	 x بدل تفرغ للمحامين	21110409
165390	181797	228819	269000	 x بدل تفرغ لموظفين فنيين	21110410
46696814	48149556	56964925	63893000	 x بدل تفرغ للمهندسين الزراعيين	21110411
3951280	4173509	5239880	5739000	 x بدل تفرغ للاطباء البيطرين	21110412
3928526	3602168	4744267	5927000	 x بدل تفرغ للتجاريين	21110413
60986760	97815316	73148969	73023000	 x بدلات عسكرية	21110414
169555959	317838904	292245447	180625000	 x بدل طبيعة عمل	21110415
